YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M
1990,3,17,3.88,5.48,0.45,348.3,80.0,-999.0,-999.0,-999.0,-999.0,4.21,14.77,12.22,13.49,15.19,5.26,17.33,12.08,8.67,85.0,9.21,102.2,5.45,3.41,64.44,7.15,1.93,64.19
1990,3,18,5.1,5.42,0.59,332.9,101.8,-999.0,-999.0,-999.0,-999.0,3.95,14.83,11.83,13.33,15.0,5.24,17.48,12.24,8.42,82.5,8.95,102.57,5.16,2.76,89.12,6.95,1.48,89.06
1990,3,19,5.09,5.55,0.59,320.1,101.2,-999.0,-999.0,-999.0,-999.0,2.32,14.69,10.33,12.51,15.58,7.75,18.94,11.19,7.63,76.62,0.0,102.56,3.2,1.98,96.06,4.26,3.64,96.38
1990,3,20,3.02,5.91,0.34,355.8,62.4,-999.0,-999.0,-999.0,-999.0,1.76,13.4,10.3,11.85,14.33,6.57,16.68,10.12,7.69,82.31,4.11,102.14,2.4,1.59,153.38,3.37,3.45,151.94
1990,3,21,5.94,6.46,0.68,332.9,117.9,-999.0,-999.0,-999.0,-999.0,3.03,14.98,8.67,11.83,15.21,10.83,20.29,9.47,6.9,69.31,0.01,102.11,3.93,5.37,106.06,5.27,6.09,91.0
1990,3,22,6.01,6.06,0.68,300.3,113.2,-999.0,-999.0,-999.0,-999.0,1.34,16.32,7.82,12.07,16.44,10.08,21.57,11.49,6.53,59.88,0.0,101.87,1.89,3.6,183.94,2.77,6.18,184.81
1990,3,23,5.7,5.75,0.64,331.3,110.8,-999.0,-999.0,-999.0,-999.0,3.38,16.44,6.06,11.25,16.46,11.93,22.57,10.64,5.86,52.31,0.0,101.69,4.64,2.35,256.38,6.78,4.95,257.06
1990,3,24,5.48,5.77,0.61,360.4,107.1,-999.0,-999.0,-999.0,-999.0,3.37,17.24,6.26,11.76,16.92,12.12,23.51,11.39,5.92,50.25,0.0,101.52,4.77,3.54,243.94,6.91,2.82,244.19
1990,3,25,4.31,6.3,0.48,362.9,86.9,-999.0,-999.0,-999.0,-999.0,1.55,18.28,5.68,11.98,17.53,10.89,24.4,13.51,5.8,46.38,0.0,101.17,2.22,1.84,182.12,3.28,4.23,181.75
1990,3,26,5.19,6.23,0.57,339.2,103.0,-999.0,-999.0,-999.0,-999.0,3.86,16.72,11.62,14.17,17.3,6.62,20.3,13.67,8.54,73.75,0.49,100.76,5.03,7.8,56.0,6.71,8.53,55.81
